Ni,Ti,Si,Co,Pd,Mo,Fe,V,Cr,Al,Zr,Nb,Mn,Ta,Cu,Hf,Pt,B,HT-1K,HT-2K,T-min,As,Af,Ms,Mf,MsK,HT-1,HT-2,T,th
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,873,60,112,139,119,87,392,950,600,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,773,60,149,184,129,94,402,950,500,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,673,60,146,167,126,101,399,950,400,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,273,0,162,199,145,107,418,950,0,0,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,273,0,158,178,138,110,411,950,0,0,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,273,0,160,180,148,126,421,950,0,0,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,273,0,159,173,149,138,422,950,0,0,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,273,273,0,95,133,101,71,374,0,0,0,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,273,273,0,98,140,102,63,375,0,0,0,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,273,273,0,103,137,111,70,384,0,0,0,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,273,273,0,107,147,115,73,388,0,0,0,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,273,273,0,112,139,119,87,392,0,0,0,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,273,273,0,111,160,126,79,399,0,0,0,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,273,273,0,113,180,138,78,411,0,0,0,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,159,173,149,138,422,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,923,60,152,181,151,134,424,950,650,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,150,179,151,133,424,950,900,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,273,273,0,139,170,115,88,388,0,0,0,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,273,273,0,149,184,129,94,402,0,0,0,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,273,273,0,146,167,126,101,399,0,0,0,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,673,60,158,178,138,110,411,950,400,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,773,60,162,199,145,107,418,950,500,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,773,60,160,180,148,126,421,950,500,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,673,60,170,191,152,122,425,950,400,1,
