Ni,Ti,Si,Co,Pd,Mo,Fe,V,Cr,Al,Zr,Nb,Mn,Ta,Cu,Hf,Pt,B,HT-1,HT-2,T,As,Af,Ms,Mf
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,600,72,171,241,182,142
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,600,48,179,234,177,146
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,900,500,1.5,243,237,202,208
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,900,600,1.5,266,263,203,206
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,900,700,1.5,264,271,231,227
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,900,800,1.5,266,270,234,228
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,900,900,1.5,265,272,236,228
19.5,50.5,0,0,25,0,0,0,0,0,0,0,0,0,0,0,5,0,1050,515,0.75,263,273,268,254
19.8,50,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1000,900,1,239,246,231,218
19.8,50,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1000,900,1,235,249,232,218
19.8,50,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1000,900,1,240,259,237,220
19.8,50,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1000,900,1,242,273,247,220
19.8,50,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1000,900,1,241,286,256,220
34.5,49.5,0,0,4.5,0,0,0,0,0,0,0,0,0,11.5,0,0,0,950,0,0,19,23,18,13
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,500,1,-1,78,45,-25
33.5,50.5,0,0,4.5,0,0,0,0,0,0,0,0,0,11.5,0,0,0,950,0,0,58,63,58,53
33.5,50.5,0,0,4.5,0,0,0,0,0,0,0,0,0,11.5,0,0,0,950,0,0,57,63,60,53
33.5,50.5,0,0,4.5,0,0,0,0,0,0,0,0,0,11.5,0,0,0,950,0,0,57,63,59,52
33.5,50.5,0,0,4.5,0,0,0,0,0,0,0,0,0,11.5,0,0,0,950,0,0,57,63,60,52
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,550,1,87,109,81,47
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,600,1,100,146,99,75
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,600,1,95,133,101,71
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,600,1,98,140,102,63
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,600,1,103,137,111,70
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,600,1,107,147,115,73
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,600,1,111,160,126,79
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,600,1,113,180,138,78
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,500,1,139,170,115,88
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,600,1,112,139,119,87
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,500,1,149,184,129,94
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,400,1,146,167,126,101
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,0,0,162,199,145,107
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,0,0,158,178,138,110
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,0,0,160,180,148,126
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,0,0,159,173,149,138
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,95,133,101,71
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,98,140,102,63
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,103,137,111,70
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,107,147,115,73
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,112,139,119,87
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,111,160,126,79
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,113,180,138,78
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,159,173,149,138
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,650,1,152,181,151,134
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,150,179,151,133
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,139,170,115,88
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,149,184,129,94
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,146,167,126,101
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,400,1,158,178,138,110
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,500,1,162,199,145,107
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,500,1,160,180,148,126
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,400,1,170,191,152,122
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,170,191,152,122
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,133,191,154,105
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,400,1,102,167,154,103
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,900,1,156,178,155,133
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,500,1,184,217,157,124
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,500,1,123,180,157,112
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,500,1,175,192,158,137
17.5,50,0,0,25,0,0,0,0,0,0,0,0,0,7.5,0,0,0,950,600,1,133,188,159,120
22,50,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,950,500,1,166,179,161,146
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,170,189,161,142
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,168,184,161,138
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,156,188,161,133
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,148,212,161,109
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,177,201,163,143
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,173,186,166,151
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,400,1,180,210,166,136
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,175,187,167,152
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,172,185,167,151
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,171,184,167,150
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,150,222,167,112
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,165,189,168,150
22,50,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,950,900,1,167,184,169,152
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,0,0,179,192,169,150
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,180,192,170,153
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,178,193,170,150
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,174,194,170,147
22,50,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,950,600,1,172,187,171,158
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,156,229,171,116
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,179,193,172,151
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,179,203,173,146
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,150,235,173,112
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,500,1,190,237,173,136
22,50,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,950,700,1,166,188,172,167
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,900,1,166,189,176,155
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,0,0,188,209,176,149
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,138,206,176,120
17.5,50,0,0,25,0,0,0,0,0,0,0,0,0,7.5,0,0,0,950,900,1,174,192,177,162
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,600,1,177,196,179,164
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,950,500,1,208,241,179,160
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,189,220,179,148
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,155,238,179,116
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,700,1,171,198,180,157
17.5,50,0,0,25,0,0,0,0,0,0,0,0,0,7.5,0,0,0,950,0,0,185,197,181,171
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,900,700,1,186,198,181,167
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,181,194,181,166
